Date,month,Market,Length,Grade.Type,Series,Price,y,Width,Height
2009-07-30,7,0,5.0,0,1,298,310,2,4
2009-08-06,8,0,5.0,0,1,302,314,2,4
2009-08-13,8,0,5.0,0,1,310,302,2,4
2009-08-20,8,0,5.0,0,1,316,288,2,4
2009-08-27,8,0,5.0,0,1,310,289,2,4
2009-09-03,9,0,5.0,0,1,314,287,2,4
2009-09-10,9,0,5.0,0,1,302,284,2,4
2009-09-17,9,0,5.0,0,1,288,273,2,4
2009-09-24,9,0,5.0,0,1,289,293,2,4
2009-10-01,10,0,5.0,0,1,287,304,2,4
2009-10-08,10,0,5.0,0,1,284,298,2,4
2009-10-15,10,0,5.0,0,1,273,290,2,4
2009-10-22,10,0,5.0,0,1,293,308,2,4
2009-10-29,10,0,5.0,0,1,304,313,2,4
2009-11-05,11,0,5.0,0,1,298,322,2,4
2009-11-12,11,0,5.0,0,1,290,321,2,4
2009-11-19,11,0,5.0,0,1,308,326,2,4
2009-11-26,11,0,5.0,0,1,313,320,2,4
2009-12-03,12,0,5.0,0,1,322,319,2,4
2009-12-10,12,0,5.0,0,1,321,310,2,4
2009-12-17,12,0,5.0,0,1,326,307,2,4
2009-12-24,12,0,5.0,0,1,320,326,2,4
2009-12-31,12,0,5.0,0,1,319,336,2,4
2010-01-07,1,0,5.0,0,1,310,348,2,4
2010-01-14,1,0,5.0,0,1,307,368,2,4
2010-01-21,1,0,5.0,0,1,326,368,2,4
2010-01-28,1,0,5.0,0,1,336,371,2,4
2010-02-04,2,0,5.0,0,1,348,345,2,4
2010-02-11,2,0,5.0,0,1,368,348,2,4
2010-02-18,2,0,5.0,0,1,368,355,2,4
2010-02-25,2,0,5.0,0,1,371,358,2,4
2010-03-04,3,0,5.0,0,1,345,363,2,4
2010-03-11,3,0,5.0,0,1,348,371,2,4
2010-03-18,3,0,5.0,0,1,355,376,2,4
2010-03-25,3,0,5.0,0,1,358,386,2,4
2010-04-01,4,0,5.0,0,1,363,392,2,4
2010-04-08,4,0,5.0,0,1,371,410,2,4
2010-04-15,4,0,5.0,0,1,376,383,2,4
2010-04-22,4,0,5.0,0,1,386,380,2,4
2010-04-29,4,0,5.0,0,1,392,352,2,4
2010-05-06,5,0,5.0,0,1,410,343,2,4
2010-05-13,5,0,5.0,0,1,383,335,2,4
2010-05-20,5,0,5.0,0,1,380,314,2,4
2010-05-27,5,0,5.0,0,1,352,313,2,4
2010-06-03,6,0,5.0,0,1,343,307,2,4
2010-06-10,6,0,5.0,0,1,335,318,2,4
2010-06-17,6,0,5.0,0,1,314,322,2,4
2010-06-24,6,0,5.0,0,1,313,323,2,4
2010-07-01,7,0,5.0,0,1,307,325,2,4
2010-07-08,7,0,5.0,0,1,318,321,2,4
2010-07-15,7,0,5.0,0,1,322,325,2,4
2010-07-22,7,0,5.0,0,1,323,308,2,4
2010-07-29,7,0,5.0,0,1,325,323,2,4
2010-08-05,8,0,5.0,0,1,321,310,2,4
2010-08-12,8,0,5.0,0,1,325,301,2,4
2010-08-19,8,0,5.0,0,1,308,302,2,4
2010-08-26,8,0,5.0,0,1,323,314,2,4
2010-09-02,9,0,5.0,0,1,310,315,2,4
2010-09-09,9,0,5.0,0,1,301,308,2,4
2010-09-16,9,0,5.0,0,1,302,306,2,4
2010-09-23,9,0,5.0,0,1,314,312,2,4
2010-09-30,9,0,5.0,0,1,315,319,2,4
2010-10-07,10,0,5.0,0,1,308,328,2,4
2010-10-14,10,0,5.0,0,1,306,340,2,4
2010-10-21,10,0,5.0,0,1,312,353,2,4
2010-10-28,10,0,5.0,0,1,319,348,2,4
2010-11-04,11,0,5.0,0,1,328,351,2,4
2010-11-11,11,0,5.0,0,1,340,349,2,4
2010-11-18,11,0,5.0,0,1,353,351,2,4
2010-11-25,11,0,5.0,0,1,348,364,2,4
2010-12-02,12,0,5.0,0,1,351,374,2,4
2010-12-09,12,0,5.0,0,1,349,384,2,4
2010-12-16,12,0,5.0,0,1,351,380,2,4
2010-12-23,12,0,5.0,0,1,364,373,2,4
2010-12-30,12,0,5.0,0,1,374,363,2,4
2011-01-06,1,0,5.0,0,1,384,356,2,4
2011-01-13,1,0,5.0,0,1,380,358,2,4
2011-01-20,1,0,5.0,0,1,373,354,2,4
2011-01-27,1,0,5.0,0,1,363,361,2,4
2011-02-03,2,0,5.0,0,1,356,360,2,4
2011-02-10,2,0,5.0,0,1,358,358,2,4
2011-02-17,2,0,5.0,0,1,354,367,2,4
2011-02-24,2,0,5.0,0,1,361,358,2,4
2011-03-03,3,0,5.0,0,1,360,350,2,4
2011-03-10,3,0,5.0,0,1,358,341,2,4
2011-03-17,3,0,5.0,0,1,367,332,2,4
2011-03-24,3,0,5.0,0,1,358,319,2,4
2011-03-31,3,0,5.0,0,1,350,309,2,4
2011-04-07,4,0,5.0,0,1,341,307,2,4
2011-04-14,4,0,5.0,0,1,332,302,2,4
2011-04-21,4,0,5.0,0,1,319,305,2,4
2011-04-28,4,0,5.0,0,1,309,308,2,4
2011-05-05,5,0,5.0,0,1,307,313,2,4
2011-05-12,5,0,5.0,0,1,302,318,2,4
2011-05-19,5,0,5.0,0,1,305,323,2,4
2011-05-26,5,0,5.0,0,1,308,321,2,4
2011-06-02,6,0,5.0,0,1,313,324,2,4
2011-06-09,6,0,5.0,0,1,318,328,2,4
2011-06-16,6,0,5.0,0,1,323,325,2,4
2011-06-23,6,0,5.0,0,1,321,322,2,4
2011-06-30,6,0,5.0,0,1,324,321,2,4
2011-07-07,7,0,5.0,0,1,328,321,2,4
2011-07-14,7,0,5.0,0,1,325,323,2,4
2011-07-21,7,0,5.0,0,1,322,309,2,4
2011-07-28,7,0,5.0,0,1,321,311,2,4
2011-08-04,8,0,5.0,0,1,321,318,2,4
2011-08-11,8,0,5.0,0,1,323,325,2,4
2011-08-18,8,0,5.0,0,1,309,327,2,4
2011-08-25,8,0,5.0,0,1,311,327,2,4
2011-09-01,9,0,5.0,0,1,318,331,2,4
2011-09-08,9,0,5.0,0,1,325,333,2,4
2011-09-15,9,0,5.0,0,1,327,326,2,4
2011-09-22,9,0,5.0,0,1,327,326,2,4
2011-09-29,9,0,5.0,0,1,331,321,2,4
2011-10-06,10,0,5.0,0,1,333,311,2,4
2011-10-13,10,0,5.0,0,1,326,317,2,4
2011-10-20,10,0,5.0,0,1,326,323,2,4
2011-10-27,10,0,5.0,0,1,321,335,2,4
2011-11-03,11,0,5.0,0,1,311,331,2,4
2011-11-10,11,0,5.0,0,1,317,333,2,4
2011-11-17,11,0,5.0,0,1,323,343,2,4
2011-11-24,11,0,5.0,0,1,335,344,2,4
2011-12-01,12,0,5.0,0,1,331,348,2,4
2011-12-08,12,0,5.0,0,1,333,345,2,4
2011-12-15,12,0,5.0,0,1,343,346,2,4
2011-12-22,12,0,5.0,0,1,344,344,2,4
2011-12-29,12,0,5.0,0,1,348,336,2,4
2012-01-05,1,0,5.0,0,1,345,349,2,4
2012-01-12,1,0,5.0,0,1,346,354,2,4
2012-01-19,1,0,5.0,0,1,344,350,2,4
2012-01-26,1,0,5.0,0,1,336,350,2,4
2012-02-02,2,0,5.0,0,1,349,361,2,4
2012-02-09,2,0,5.0,0,1,354,364,2,4
2012-02-16,2,0,5.0,0,1,350,368,2,4
2012-02-23,2,0,5.0,0,1,350,372,2,4
2012-03-01,3,0,5.0,0,1,361,369,2,4
2012-03-08,3,0,5.0,0,1,364,364,2,4
2012-03-15,3,0,5.0,0,1,368,366,2,4
2012-03-22,3,0,5.0,0,1,372,362,2,4
2012-03-29,3,0,5.0,0,1,369,368,2,4
2012-04-05,4,0,5.0,0,1,364,380,2,4
2012-04-12,4,0,5.0,0,1,366,396,2,4
2012-04-19,4,0,5.0,0,1,362,405,2,4
2012-04-26,4,0,5.0,0,1,368,410,2,4
2012-05-03,5,0,5.0,0,1,380,417,2,4
2012-05-10,5,0,5.0,0,1,396,417,2,4
2012-05-17,5,0,5.0,0,1,405,411,2,4
2012-05-24,5,0,5.0,0,1,410,403,2,4
2012-05-31,5,0,5.0,0,1,417,400,2,4
2012-06-07,6,0,5.0,0,1,417,390,2,4
2012-06-14,6,0,5.0,0,1,411,397,2,4
2012-06-21,6,0,5.0,0,1,403,404,2,4
2012-06-28,6,0,5.0,0,1,400,413,2,4
2012-07-05,7,0,5.0,0,1,390,412,2,4
2012-07-12,7,0,5.0,0,1,397,408,2,4
2012-07-19,7,0,5.0,0,1,404,406,2,4
2012-07-26,7,0,5.0,0,1,413,411,2,4
2012-08-02,8,0,5.0,0,1,412,406,2,4
2012-08-09,8,0,5.0,0,1,408,396,2,4
2012-08-16,8,0,5.0,0,1,406,386,2,4
2012-08-23,8,0,5.0,0,1,411,380,2,4
2012-08-30,8,0,5.0,0,1,406,374,2,4
2012-09-06,9,0,5.0,0,1,396,375,2,4
2012-09-13,9,0,5.0,0,1,386,368,2,4
2012-09-20,9,0,5.0,0,1,380,372,2,4
2012-09-27,9,0,5.0,0,1,374,393,2,4
2012-10-04,10,0,5.0,0,1,375,400,2,4
2012-10-11,10,0,5.0,0,1,368,414,2,4
2012-10-18,10,0,5.0,0,1,372,417,2,4
2012-10-25,10,0,5.0,0,1,393,418,2,4
2012-11-01,11,0,5.0,0,1,400,422,2,4
2012-11-08,11,0,5.0,0,1,414,426,2,4
2012-11-15,11,0,5.0,0,1,417,423,2,4
2012-11-22,11,0,5.0,0,1,418,440,2,4
2012-11-29,11,0,5.0,0,1,422,456,2,4
2012-12-06,12,0,5.0,0,1,426,460,2,4
2012-12-13,12,0,5.0,0,1,423,464,2,4
2012-12-20,12,0,5.0,0,1,440,463,2,4
2012-12-27,12,0,5.0,0,1,456,465,2,4
2013-01-03,1,0,5.0,0,1,460,456,2,4
2013-01-10,1,0,5.0,0,1,464,458,2,4
2013-01-17,1,0,5.0,0,1,463,466,2,4
2013-01-24,1,0,5.0,0,1,465,478,2,4
2013-01-31,1,0,5.0,0,1,456,476,2,4
2013-02-07,2,0,5.0,0,1,458,490,2,4
2013-02-14,2,0,5.0,0,1,466,499,2,4
2013-02-21,2,0,5.0,0,1,478,503,2,4
2013-02-28,2,0,5.0,0,1,476,503,2,4
2013-03-07,3,0,5.0,0,1,490,502,2,4
2013-03-14,3,0,5.0,0,1,499,502,2,4
2013-03-21,3,0,5.0,0,1,503,498,2,4
2013-03-28,3,0,5.0,0,1,503,487,2,4
2013-04-04,4,0,5.0,0,1,502,458,2,4
2013-04-11,4,0,5.0,0,1,502,456,2,4
2013-04-18,4,0,5.0,0,1,498,452,2,4
2013-04-25,4,0,5.0,0,1,487,451,2,4
2013-05-02,5,0,5.0,0,1,458,435,2,4
2013-05-09,5,0,5.0,0,1,456,424,2,4
2013-05-16,5,0,5.0,0,1,452,413,2,4
2013-05-23,5,0,5.0,0,1,451,406,2,4
2013-05-30,5,0,5.0,0,1,435,413,2,4
2013-06-06,6,0,5.0,0,1,424,410,2,4
2013-06-13,6,0,5.0,0,1,413,405,2,4
2013-06-20,6,0,5.0,0,1,406,411,2,4
2013-06-27,6,0,5.0,0,1,413,412,2,4
2013-07-04,7,0,5.0,0,1,410,412,2,4
2013-07-11,7,0,5.0,0,1,405,422,2,4
2013-07-18,7,0,5.0,0,1,411,424,2,4
2013-07-25,7,0,5.0,0,1,412,430,2,4
2013-08-01,8,0,5.0,0,1,412,425,2,4
2013-08-08,8,0,5.0,0,1,422,430,2,4
2013-08-15,8,0,5.0,0,1,424,428,2,4
2013-08-22,8,0,5.0,0,1,430,440,2,4
2013-08-29,8,0,5.0,0,1,425,449,2,4
2013-09-05,9,0,5.0,0,1,430,459,2,4
2013-09-12,9,0,5.0,0,1,428,468,2,4
2013-09-19,9,0,5.0,0,1,440,454,2,4
2013-09-26,9,0,5.0,0,1,449,462,2,4
2013-10-03,10,0,5.0,0,1,459,482,2,4
2013-10-10,10,0,5.0,0,1,468,490,2,4
2013-10-17,10,0,5.0,0,1,454,491,2,4
2013-10-24,10,0,5.0,0,1,462,491,2,4
2013-10-31,10,0,5.0,0,1,482,492,2,4
2013-11-07,11,0,5.0,0,1,490,486,2,4
2013-11-14,11,0,5.0,0,1,491,482,2,4
2013-11-21,11,0,5.0,0,1,491,488,2,4
2013-11-28,11,0,5.0,0,1,492,484,2,4
2013-12-05,12,0,5.0,0,1,486,485,2,4
2013-12-12,12,0,5.0,0,1,482,498,2,4
2013-12-19,12,0,5.0,0,1,488,509,2,4
2013-12-26,12,0,5.0,0,1,484,516,2,4
2014-01-02,1,0,5.0,0,1,485,520,2,4
2014-01-09,1,0,5.0,0,1,498,510,2,4
2014-01-16,1,0,5.0,0,1,509,489,2,4
2014-01-23,1,0,5.0,0,1,516,498,2,4
2014-01-30,1,0,5.0,0,1,520,501,2,4
2014-02-06,2,0,5.0,0,1,510,485,2,4
2014-02-13,2,0,5.0,0,1,489,495,2,4
2014-02-20,2,0,5.0,0,1,498,495,2,4
2014-02-27,2,0,5.0,0,1,501,477,2,4
2014-03-06,3,0,5.0,0,1,485,474,2,4
2014-03-13,3,0,5.0,0,1,495,462,2,4
2014-03-20,3,0,5.0,0,1,495,468,2,4
2014-03-27,3,0,5.0,0,1,477,463,2,4
2014-04-03,4,0,5.0,0,1,474,461,2,4
2014-04-10,4,0,5.0,0,1,462,463,2,4
2014-04-17,4,0,5.0,0,1,468,468,2,4
2014-04-24,4,0,5.0,0,1,463,475,2,4
2014-05-01,5,0,5.0,0,1,461,467,2,4
2014-05-08,5,0,5.0,0,1,463,465,2,4
2014-05-15,5,0,5.0,0,1,468,456,2,4
2014-05-22,5,0,5.0,0,1,475,455,2,4
2014-05-29,5,0,5.0,0,1,467,456,2,4
2014-06-05,6,0,5.0,0,1,465,464,2,4
2014-06-12,6,0,5.0,0,1,456,463,2,4
2014-06-19,6,0,5.0,0,1,455,467,2,4
2014-06-26,6,0,5.0,0,1,456,467,2,4
2014-07-03,7,0,5.0,0,1,464,473,2,4
2014-07-10,7,0,5.0,0,1,463,475,2,4
2014-07-17,7,0,5.0,0,1,467,480,2,4
2014-07-24,7,0,5.0,0,1,467,494,2,4
2014-07-31,7,0,5.0,0,1,473,494,2,4
2014-08-07,8,0,5.0,0,1,475,495,2,4
2014-08-14,8,0,5.0,0,1,480,498,2,4
2014-08-21,8,0,5.0,0,1,494,484,2,4
2014-08-28,8,0,5.0,0,1,494,482,2,4
2014-09-04,9,0,5.0,0,1,495,485,2,4
2014-09-11,9,0,5.0,0,1,498,489,2,4
2014-09-18,9,0,5.0,0,1,484,496,2,4
2014-09-25,9,0,5.0,0,1,482,489,2,4
2014-10-02,10,0,5.0,0,1,485,481,2,4
2014-10-09,10,0,5.0,0,1,489,490,2,4
2014-10-16,10,0,5.0,0,1,496,481,2,4
2014-10-23,10,0,5.0,0,1,489,477,2,4
2014-10-30,10,0,5.0,0,1,481,473,2,4
2014-11-06,11,0,5.0,0,1,490,477,2,4
2014-11-13,11,0,5.0,0,1,481,482,2,4
2014-11-20,11,0,5.0,0,1,477,495,2,4
2014-11-27,11,0,5.0,0,1,473,500,2,4
2014-12-04,12,0,5.0,0,1,477,502,2,4
2014-12-11,12,0,5.0,0,1,482,508,2,4
2014-12-18,12,0,5.0,0,1,495,508,2,4
2014-12-25,12,0,5.0,0,1,500,518,2,4
2015-01-01,1,0,5.0,0,1,502,520,2,4
2015-01-08,1,0,5.0,0,1,508,522,2,4
2015-01-15,1,0,5.0,0,1,508,524,2,4
2015-01-22,1,0,5.0,0,1,518,504,2,4
2015-01-29,1,0,5.0,0,1,520,503,2,4
2015-02-05,2,0,5.0,0,1,522,491,2,4
2015-02-12,2,0,5.0,0,1,524,497,2,4
2015-02-19,2,0,5.0,0,1,504,471,2,4
2015-02-26,2,0,5.0,0,1,503,470,2,4
2015-03-05,3,0,5.0,0,1,491,473,2,4
2015-03-12,3,0,5.0,0,1,497,458,2,4
2015-03-19,3,0,5.0,0,1,471,449,2,4
2015-03-26,3,0,5.0,0,1,470,435,2,4
2015-04-02,4,0,5.0,0,1,473,427,2,4
2015-04-09,4,0,5.0,0,1,458,421,2,4
2015-04-16,4,0,5.0,0,1,449,418,2,4
2015-04-23,4,0,5.0,0,1,435,427,2,4
2015-04-30,4,0,5.0,0,1,427,448,2,4
2015-05-07,5,0,5.0,0,1,421,455,2,4
2015-05-14,5,0,5.0,0,1,418,454,2,4
2015-05-21,5,0,5.0,0,1,427,465,2,4
2015-05-28,5,0,5.0,0,1,448,471,2,4
2015-06-04,6,0,5.0,0,1,455,485,2,4
2015-06-11,6,0,5.0,0,1,454,484,2,4
2015-06-18,6,0,5.0,0,1,465,491,2,4
2015-06-25,6,0,5.0,0,1,471,492,2,4
2015-07-02,7,0,5.0,0,1,485,479,2,4
2015-07-09,7,0,5.0,0,1,484,481,2,4
2015-07-16,7,0,5.0,0,1,491,474,2,4
2015-07-23,7,0,5.0,0,1,492,479,2,4
2015-07-30,7,0,5.0,0,1,479,479,2,4
2015-08-06,8,0,5.0,0,1,481,471,2,4
2015-08-13,8,0,5.0,0,1,474,471,2,4
2015-08-20,8,0,5.0,0,1,479,461,2,4
2015-08-27,8,0,5.0,0,1,479,466,2,4
2015-09-03,9,0,5.0,0,1,471,459,2,4
2015-09-10,9,0,5.0,0,1,471,451,2,4
2015-09-17,9,0,5.0,0,1,461,452,2,4
2015-09-24,9,0,5.0,0,1,466,473,2,4
2015-10-01,10,0,5.0,0,1,459,475,2,4
2015-10-08,10,0,5.0,0,1,451,480,2,4
2015-10-15,10,0,5.0,0,1,452,484,2,4
2015-10-22,10,0,5.0,0,1,473,479,2,4
2015-10-29,10,0,5.0,0,1,475,479,2,4
2015-11-05,11,0,5.0,0,1,480,481,2,4
2015-11-12,11,0,5.0,0,1,484,488,2,4
2015-11-19,11,0,5.0,0,1,479,503,2,4
2015-11-26,11,0,5.0,0,1,479,510,2,4
2015-12-03,12,0,5.0,0,1,481,509,2,4
2015-12-10,12,0,5.0,0,1,488,513,2,4
2015-12-17,12,0,5.0,0,1,503,517,2,4
2015-12-24,12,0,5.0,0,1,510,507,2,4
2015-12-31,12,0,5.0,0,1,509,486,2,4
2016-01-07,1,0,5.0,0,1,513,476,2,4
2016-01-14,1,0,5.0,0,1,517,487,2,4
2016-01-21,1,0,5.0,0,1,507,486,2,4
2016-01-28,1,0,5.0,0,1,486,486,2,4
2016-02-04,2,0,5.0,0,1,476,477,2,4
2016-02-11,2,0,5.0,0,1,487,477,2,4
2016-02-18,2,0,5.0,0,1,486,485,2,4
2016-02-25,2,0,5.0,0,1,486,489,2,4
2016-03-03,3,0,5.0,0,1,477,493,2,4
2016-03-10,3,0,5.0,0,1,477,504,2,4
2016-03-17,3,0,5.0,0,1,485,487,2,4
2016-03-24,3,0,5.0,0,1,489,468,2,4
2016-03-31,3,0,5.0,0,1,493,472,2,4
2016-04-07,4,0,5.0,0,1,504,489,2,4
2016-04-14,4,0,5.0,0,1,487,514,2,4
2016-04-21,4,0,5.0,0,1,468,534,2,4
2016-04-28,4,0,5.0,0,1,472,541,2,4
2016-05-05,5,0,5.0,0,1,489,543,2,4
2016-05-12,5,0,5.0,0,1,514,507,2,4
2016-05-19,5,0,5.0,0,1,534,523,2,4
2016-05-26,5,0,5.0,0,1,541,519,2,4
2016-06-02,6,0,5.0,0,1,543,524,2,4
2016-06-09,6,0,5.0,0,1,507,525,2,4
2016-06-16,6,0,5.0,0,1,523,538,2,4
2016-06-23,6,0,5.0,0,1,519,549,2,4
2016-06-30,6,0,5.0,0,1,524,556,2,4
2016-07-07,7,0,5.0,0,1,525,554,2,4
2016-07-14,7,0,5.0,0,1,538,555,2,4
2016-07-21,7,0,5.0,0,1,549,546,2,4
2016-07-28,7,0,5.0,0,1,556,550,2,4
2016-08-04,8,0,5.0,0,1,554,551,2,4
2016-08-11,8,0,5.0,0,1,555,541,2,4
2016-08-18,8,0,5.0,0,1,546,548,2,4
2016-08-25,8,0,5.0,0,1,550,536,2,4
2016-09-01,9,0,5.0,0,1,551,529,2,4
2016-09-08,9,0,5.0,0,1,541,534,2,4
2016-09-15,9,0,5.0,0,1,548,538,2,4
2016-09-22,9,0,5.0,0,1,536,532,2,4
2016-09-29,9,0,5.0,0,1,529,535,2,4
2016-10-06,10,0,5.0,0,1,534,529,2,4
2016-10-13,10,0,5.0,0,1,538,523,2,4
2016-10-20,10,0,5.0,0,1,532,517,2,4
2016-10-27,10,0,5.0,0,1,535,520,2,4
2016-11-03,11,0,5.0,0,1,529,524,2,4
2016-11-10,11,0,5.0,0,1,523,522,2,4
2016-11-17,11,0,5.0,0,1,517,525,2,4
2016-11-24,11,0,5.0,0,1,520,531,2,4
2016-12-01,12,0,5.0,0,1,524,535,2,4
2016-12-08,12,0,5.0,0,1,522,525,2,4
2016-12-15,12,0,5.0,0,1,525,520,2,4
2016-12-22,12,0,5.0,0,1,531,524,2,4
2016-12-29,12,0,5.0,0,1,535,510,2,4
2017-01-05,1,0,5.0,0,1,525,515,2,4
2017-01-12,1,0,5.0,0,1,520,565,2,4
2017-01-19,1,0,5.0,0,1,524,568,2,4
2017-01-26,1,0,5.0,0,1,510,573,2,4
2017-02-02,2,0,5.0,0,1,515,581,2,4
2017-02-09,2,0,5.0,0,1,565,566,2,4
2017-02-16,2,0,5.0,0,1,568,558,2,4
2017-02-23,2,0,5.0,0,1,573,560,2,4
2017-03-02,3,0,5.0,0,1,581,560,2,4
2017-03-09,3,0,5.0,0,1,566,584,2,4
2017-03-16,3,0,5.0,0,1,558,669,2,4
2017-03-23,3,0,5.0,0,1,560,681,2,4
2017-03-30,3,0,5.0,0,1,560,674,2,4
2017-04-06,4,0,5.0,0,1,584,659,2,4
2017-04-13,4,0,5.0,0,1,669,644,2,4
2017-04-20,4,0,5.0,0,1,681,626,2,4
2017-04-27,4,0,5.0,0,1,674,617,2,4
2017-05-04,5,0,5.0,0,1,659,614,2,4
2017-05-11,5,0,5.0,0,1,644,608,2,4
2017-05-18,5,0,5.0,0,1,626,589,2,4
2017-05-25,5,0,5.0,0,1,617,600,2,4
2017-06-01,6,0,5.0,0,1,614,600,2,4
2017-06-08,6,0,5.0,0,1,608,603,2,4
2017-06-15,6,0,5.0,0,1,589,606,2,4
2017-06-22,6,0,5.0,0,1,600,617,2,4
2017-06-29,6,0,5.0,0,1,600,623,2,4
2017-07-06,7,0,5.0,0,1,603,636,2,4
2017-07-13,7,0,5.0,0,1,606,641,2,4
2017-07-20,7,0,5.0,0,1,617,625,2,4
2017-07-27,7,0,5.0,0,1,623,608,2,4
2017-08-03,8,0,5.0,0,1,636,612,2,4
2017-08-10,8,0,5.0,0,1,641,593,2,4
2017-08-17,8,0,5.0,0,1,625,608,2,4
2017-08-24,8,0,5.0,0,1,608,630,2,4
2017-08-31,8,0,5.0,0,1,612,655,2,4
2017-09-07,9,0,5.0,0,1,593,680,2,4
2017-09-14,9,0,5.0,0,1,608,678,2,4
2017-09-21,9,0,5.0,0,1,630,679,2,4
2017-09-28,9,0,5.0,0,1,655,697,2,4
2017-10-05,10,0,5.0,0,1,680,702,2,4
2017-10-12,10,0,5.0,0,1,678,713,2,4
2017-10-19,10,0,5.0,0,1,679,709,2,4
2017-10-26,10,0,5.0,0,1,697,705,2,4
2017-11-02,11,0,5.0,0,1,702,701,2,4
2017-11-09,11,0,5.0,0,1,713,678,2,4
2017-11-16,11,0,5.0,0,1,709,666,2,4
2017-11-23,11,0,5.0,0,1,705,667,2,4
